,file,frame,person,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
10,idle_bob_1.MOV,10,0,tensor(323.1240),tensor(336.5317),tensor(357.2444),tensor(308.1715),tensor(290.6387),tensor(309.6150),tensor(410.5518),tensor(337.3295),tensor(249.5591),tensor(342.4471),tensor(466.4489),tensor(537.3865),tensor(206.5740),tensor(542.9949),tensor(521.2335),tensor(791.0200),tensor(148.7410),tensor(801.1276),tensor(528.2926),tensor(1011.2805),tensor(141.5178),tensor(1010.2399),tensor(412.0794),tensor(960.9291),tensor(248.2095),tensor(959.8640),tensor(393.2692),tensor(1309.3137),tensor(262.2985),tensor(1299.9939),tensor(372.2274),tensor(1592.5684),tensor(281.9399),tensor(1584.0437)
11,idle_bob_1.MOV,11,0,tensor(323.6999),tensor(335.5621),tensor(357.5652),tensor(307.2604),tensor(290.9883),tensor(308.8768),tensor(410.2767),tensor(336.6033),tensor(249.4451),tensor(342.1760),tensor(466.2912),tensor(536.4241),tensor(207.0175),tensor(542.6699),tensor(521.1968),tensor(789.2478),tensor(149.2506),tensor(800.3484),tensor(527.8480),tensor(1011.2260),tensor(141.5389),tensor(1010.8715),tensor(413.0008),tensor(960.0718),tensor(249.4711),tensor(959.2519),tensor(393.1433),tensor(1308.3842),tensor(262.8419),tensor(1299.4193),tensor(371.9437),tensor(1593.2838),tensor(282.0243),tensor(1584.8014)
12,idle_bob_1.MOV,12,0,tensor(323.9445),tensor(335.4269),tensor(357.7934),tensor(307.1055),tensor(291.1468),tensor(308.7082),tensor(410.3009),tensor(336.3680),tensor(249.3968),tensor(341.8972),tensor(466.1064),tensor(536.1050),tensor(206.9475),tensor(542.2612),tensor(520.6693),tensor(787.8829),tensor(148.9977),tensor(798.6308),tensor(527.7657),tensor(1010.9861),tensor(140.8055),tensor(1010.3580),tensor(413.1749),tensor(960.4514),tensor(249.7840),tensor(959.6592),tensor(393.3529),tensor(1308.1091),tensor(263.2489),tensor(1299.1743),tensor(372.1215),tensor(1592.4950),tensor(282.2188),tensor(1584.0536)
13,idle_bob_1.MOV,13,0,tensor(323.3386),tensor(336.9465),tensor(357.2664),tensor(308.6681),tensor(290.8231),tensor(310.2079),tensor(410.2539),tensor(337.9093),tensor(249.6538),tensor(343.2803),tensor(466.3340),tensor(537.6180),tensor(207.1377),tensor(543.4116),tensor(520.4484),tensor(790.9564),tensor(149.0572),tensor(800.2874),tensor(526.3046),tensor(1014.1163),tensor(141.1604),tensor(1010.9484),tensor(412.9674),tensor(960.8079),tensor(249.4373),tensor(959.7955),tensor(393.5349),tensor(1308.0891),tensor(262.5126),tensor(1298.8787),tensor(372.4826),tensor(1591.5693),tensor(281.5661),tensor(1582.8882)
14,idle_bob_1.MOV,14,0,tensor(324.3290),tensor(337.0124),tensor(358.1561),tensor(308.6558),tensor(291.6710),tensor(310.3771),tensor(410.6468),tensor(337.4983),tensor(250.0846),tensor(343.2910),tensor(466.7985),tensor(536.6532),tensor(207.1245),tensor(543.5425),tensor(520.8770),tensor(788.5276),tensor(148.8668),tensor(799.7046),tensor(525.9821),tensor(1013.9619),tensor(140.1983),tensor(1011.8087),tensor(413.2340),tensor(961.6806),tensor(249.5673),tensor(961.1794),tensor(393.2118),tensor(1308.2013),tensor(262.4797),tensor(1300.0404),tensor(371.9915),tensor(1590.6190),tensor(282.0041),tensor(1583.3148)
15,idle_bob_1.MOV,15,0,tensor(326.0944),tensor(336.1281),tensor(359.6624),tensor(307.8573),tensor(293.1508),tensor(309.5953),tensor(411.2227),tensor(337.0200),tensor(250.7386),tensor(342.9389),tensor(466.7949),tensor(536.5616),tensor(207.1909),tensor(543.6666),tensor(520.8256),tensor(788.2771),tensor(148.8415),tensor(800.4934),tensor(527.3052),tensor(1013.3529),tensor(140.1067),tensor(1012.4101),tensor(412.9806),tensor(961.5817),tensor(249.3799),tensor(961.2283),tensor(393.2431),tensor(1308.2274),tensor(262.6073),tensor(1299.9448),tensor(371.8711),tensor(1590.6578),tensor(281.4603),tensor(1582.7373)
16,idle_bob_1.MOV,16,0,tensor(325.8489),tensor(336.3367),tensor(359.3557),tensor(308.1443),tensor(292.9171),tensor(309.9308),tensor(410.7881),tensor(337.5779),tensor(250.5076),tensor(343.6016),tensor(466.6505),tensor(537.1976),tensor(207.0485),tensor(544.5007),tensor(520.9186),tensor(788.5573),tensor(149.0340),tensor(800.7514),tensor(526.1639),tensor(1013.8204),tensor(140.3319),tensor(1012.2803),tensor(413.1078),tensor(962.2202),tensor(249.4709),tensor(961.9369),tensor(393.4469),tensor(1308.6968),tensor(262.6208),tensor(1300.6802),tensor(371.8237),tensor(1591.3444),tensor(281.4896),tensor(1583.8781)
17,idle_bob_1.MOV,17,0,tensor(323.4094),tensor(337.2931),tensor(357.0558),tensor(308.9507),tensor(290.8018),tensor(310.6626),tensor(409.4451),tensor(337.7557),tensor(249.4543),tensor(343.5855),tensor(466.3813),tensor(537.5740),tensor(206.7300),tensor(544.3112),tensor(521.1691),tensor(789.8037),tensor(148.8225),tensor(801.0278),tensor(525.3066),tensor(1012.4183),tensor(140.2974),tensor(1012.2880),tensor(413.3771),tensor(963.1981),tensor(249.7934),tensor(962.5516),tensor(393.4953),tensor(1309.1344),tensor(262.7521),tensor(1300.8005),tensor(371.5186),tensor(1591.1481),tensor(281.4903),tensor(1583.8799)
18,idle_bob_1.MOV,18,0,tensor(324.0184),tensor(337.6177),tensor(357.6542),tensor(309.1429),tensor(291.1886),tensor(311.0798),tensor(409.7300),tensor(337.4915),tensor(249.2856),tensor(343.8293),tensor(466.3213),tensor(536.1097),tensor(206.6925),tensor(544.2222),tensor(521.1052),tensor(787.6539),tensor(149.3267),tensor(800.9880),tensor(525.4276),tensor(1012.5546),tensor(140.6504),tensor(1011.9708),tensor(413.7905),tensor(961.8657),tensor(250.1136),tensor(961.9515),tensor(393.2879),tensor(1308.1018),tensor(262.3973),tensor(1301.3481),tensor(371.6331),tensor(1590.1454),tensor(281.3264),tensor(1584.6998)
19,idle_bob_1.MOV,19,0,tensor(324.2615),tensor(339.4335),tensor(357.9538),tensor(310.9727),tensor(291.5217),tensor(312.7510),tensor(409.6730),tensor(338.9332),tensor(249.2661),tensor(344.8667),tensor(465.8957),tensor(536.6756),tensor(205.9386),tensor(545.0854),tensor(521.2541),tensor(786.7980),tensor(148.5791),tensor(801.2328),tensor(525.1315),tensor(1012.3328),tensor(140.7466),tensor(1012.2788),tensor(413.8076),tensor(962.0864),tensor(250.0028),tensor(962.4813),tensor(393.9369),tensor(1308.2957),tensor(262.8223),tensor(1302.3600),tensor(371.9648),tensor(1590.2292),tensor(282.1484),tensor(1586.0219)
20,idle_bob_1.MOV,20,0,tensor(326.5083),tensor(338.2433),tensor(359.8745),tensor(309.9102),tensor(293.3740),tensor(311.6283),tensor(410.3867),tensor(338.4694),tensor(250.0067),tensor(344.3363),tensor(465.9626),tensor(537.3633),tensor(206.2039),tensor(545.1806),tensor(520.8649),tensor(788.4091),tensor(149.0609),tensor(802.2859),tensor(525.5979),tensor(1011.2132),tensor(141.0596),tensor(1012.2927),tensor(414.2509),tensor(963.0224),tensor(250.5666),tensor(963.1452),tensor(393.1830),tensor(1309.4497),tensor(262.5490),tensor(1302.4922),tensor(371.2712),tensor(1591.8094),tensor(281.5581),tensor(1585.9301)
21,idle_bob_1.MOV,21,0,tensor(325.5261),tensor(339.1891),tensor(358.7296),tensor(310.4213),tensor(291.9438),tensor(312.4742),tensor(409.7830),tensor(338.1481),tensor(248.6335),tensor(344.9905),tensor(465.3444),tensor(536.6384),tensor(205.6426),tensor(545.1755),tensor(518.8992),tensor(785.8560),tensor(148.0393),tensor(802.3282),tensor(527.1986),tensor(1007.7345),tensor(141.1556),tensor(1012.2061),tensor(413.2169),tensor(962.2211),tensor(249.5275),tensor(962.4976),tensor(394.0224),tensor(1309.4510),tensor(263.9016),tensor(1300.9175),tensor(371.5760),tensor(1593.7860),tensor(281.5385),tensor(1584.6555)
22,idle_bob_1.MOV,22,0,tensor(322.9370),tensor(339.7339),tensor(356.0429),tensor(310.7520),tensor(289.0097),tensor(312.8666),tensor(407.0748),tensor(338.1452),tensor(245.3958),tensor(345.1460),tensor(464.5099),tensor(536.9213),tensor(203.6387),tensor(545.5272),tensor(519.5903),tensor(787.0760),tensor(147.6686),tensor(803.4485),tensor(527.1041),tensor(1007.5226),tensor(141.3363),tensor(1013.6327),tensor(415.5988),tensor(963.5882),tensor(251.1940),tensor(963.9111),tensor(396.1731),tensor(1310.3203),tensor(265.0419),tensor(1301.9337),tensor(372.4713),tensor(1593.1000),tensor(281.6760),tensor(1584.3373)
23,idle_bob_1.MOV,23,0,tensor(324.7388),tensor(337.3782),tensor(358.6389),tensor(308.6271),tensor(290.5034),tensor(310.0688),tensor(409.1337),tensor(337.1126),tensor(245.0834),tensor(342.4025),tensor(463.8821),tensor(535.1600),tensor(202.5192),tensor(544.0791),tensor(518.6282),tensor(783.1143),tensor(149.4653),tensor(803.1698),tensor(527.5348),tensor(1003.0837),tensor(143.4308),tensor(1013.8828),tensor(416.3484),tensor(961.8384),tensor(251.4820),tensor(962.7466),tensor(397.3764),tensor(1308.9004),tensor(265.2755),tensor(1302.4098),tensor(372.3624),tensor(1590.5743),tensor(282.5769),tensor(1585.8450)
24,idle_bob_1.MOV,24,0,tensor(324.4251),tensor(337.1267),tensor(358.1319),tensor(308.0801),tensor(290.0572),tensor(309.5901),tensor(408.0605),tensor(335.4424),tensor(244.2087),tensor(340.8333),tensor(463.2100),tensor(533.6823),tensor(201.8414),tensor(542.8419),tensor(519.2441),tensor(783.8359),tensor(149.6669),tensor(803.8943),tensor(527.5271),tensor(1001.1566),tensor(143.1194),tensor(1014.1697),tensor(417.9435),tensor(962.6003),tensor(253.0226),tensor(964.0732),tensor(400.6028),tensor(1306.2811),tensor(267.5617),tensor(1302.2504),tensor(374.8973),tensor(1586.0656),tensor(283.4417),tensor(1585.8678)
25,idle_bob_1.MOV,25,0,tensor(323.6217),tensor(335.5462),tensor(356.4996),tensor(306.4661),tensor(289.0995),tensor(308.6157),tensor(405.5279),tensor(333.2444),tensor(243.3511),tensor(340.2147),tensor(461.8660),tensor(530.2137),tensor(201.9235),tensor(542.4684),tensor(518.0723),tensor(775.6103),tensor(150.3381),tensor(803.6598),tensor(527.7470),tensor(992.1052),tensor(144.4081),tensor(1016.9845),tensor(420.3510),tensor(962.8764),tensor(256.0032),tensor(965.8444),tensor(404.1219),tensor(1305.5923),tensor(270.2349),tensor(1303.7157),tensor(379.0638),tensor(1585.2671),tensor(283.9958),tensor(1587.1971)
26,idle_bob_1.MOV,26,0,tensor(326.9225),tensor(335.3504),tensor(359.0810),tensor(306.4461),tensor(292.2545),tensor(308.7224),tensor(406.6994),tensor(333.0489),tensor(245.5928),tensor(340.3171),tensor(461.9899),tensor(529.2523),tensor(203.9728),tensor(541.0842),tensor(517.8009),tensor(774.3516),tensor(151.1053),tensor(802.2568),tensor(530.1104),tensor(989.4024),tensor(147.1777),tensor(1017.4014),tensor(423.3149),tensor(959.5612),tensor(259.6454),tensor(962.8270),tensor(408.1200),tensor(1304.5052),tensor(273.1048),tensor(1303.3142),tensor(386.3916),tensor(1585.0522),tensor(285.2968),tensor(1586.9777)
27,idle_bob_1.MOV,27,0,tensor(331.8578),tensor(335.1521),tensor(363.8404),tensor(306.3142),tensor(296.1590),tensor(308.6344),tensor(408.5644),tensor(334.1693),tensor(245.0122),tensor(341.2036),tensor(460.7659),tensor(529.0706),tensor(202.6708),tensor(542.7955),tensor(517.6042),tensor(773.2072),tensor(153.7634),tensor(805.3838),tensor(530.6251),tensor(989.9390),tensor(151.3542),tensor(1021.3738),tensor(427.9717),tensor(958.7532),tensor(263.0938),tensor(963.9467),tensor(413.1954),tensor(1304.3348),tensor(272.4766),tensor(1308.7006),tensor(394.4064),tensor(1585.7842),tensor(284.0473),tensor(1595.4958)
28,idle_bob_1.MOV,28,0,tensor(332.7474),tensor(333.9982),tensor(366.1031),tensor(305.2103),tensor(296.9631),tensor(306.4883),tensor(412.6988),tensor(334.3514),tensor(246.1395),tensor(339.0808),tensor(464.8925),tensor(530.1028),tensor(203.0749),tensor(541.9373),tensor(519.1557),tensor(776.3604),tensor(153.0637),tensor(808.0622),tensor(531.4878),tensor(989.9288),tensor(151.7207),tensor(1025.3701),tensor(434.5173),tensor(957.8009),tensor(266.3411),tensor(962.3652),tensor(425.8787),tensor(1306.2931),tensor(275.2673),tensor(1309.4370),tensor(405.3520),tensor(1584.5793),tensor(283.7323),tensor(1594.7651)
29,idle_bob_1.MOV,29,0,tensor(337.9959),tensor(332.2236),tensor(370.5113),tensor(302.6272),tensor(301.5411),tensor(304.6313),tensor(415.5795),tensor(330.1997),tensor(249.1221),tensor(336.8813),tensor(468.5074),tensor(526.6269),tensor(204.7310),tensor(541.5432),tensor(522.1019),tensor(772.7952),tensor(155.1802),tensor(810.1100),tensor(533.6776),tensor(986.1517),tensor(153.9913),tensor(1025.5682),tensor(439.6790),tensor(957.8036),tensor(269.5957),tensor(963.9323),tensor(436.5298),tensor(1307.9890),tensor(279.7029),tensor(1312.6743),tensor(419.0198),tensor(1583.1366),tensor(286.4534),tensor(1594.1924)
30,idle_bob_1.MOV,30,0,tensor(338.8069),tensor(332.1634),tensor(371.2787),tensor(302.2181),tensor(302.2466),tensor(304.8559),tensor(417.4754),tensor(330.3531),tensor(251.0681),tensor(338.3097),tensor(471.5530),tensor(528.7043),tensor(208.5963),tensor(541.5691),tensor(525.9098),tensor(779.6761),tensor(159.1288),tensor(809.1553),tensor(535.9802),tensor(987.2286),tensor(157.2596),tensor(1025.7667),tensor(444.6955),tensor(958.8329),tensor(273.3811),tensor(964.6743),tensor(449.5576),tensor(1306.8651),tensor(283.5993),tensor(1312.8186),tensor(441.3808),tensor(1581.4095),tensor(288.8014),tensor(1595.0138)
31,idle_bob_1.MOV,31,0,tensor(346.8000),tensor(329.4513),tensor(378.0645),tensor(299.5863),tensor(310.7673),tensor(302.7167),tensor(422.2754),tensor(325.6331),tensor(259.5858),tensor(335.0162),tensor(475.4177),tensor(520.1426),tensor(215.5169),tensor(537.0828),tensor(529.2218),tensor(768.5440),tensor(165.1075),tensor(805.7428),tensor(540.4401),tensor(984.6184),tensor(160.2900),tensor(1025.8179),tensor(450.2406),tensor(953.5223),tensor(279.1875),tensor(961.6529),tensor(464.6026),tensor(1298.3557),tensor(289.2254),tensor(1308.6219),tensor(460.4287),tensor(1574.8115),tensor(288.5655),tensor(1593.4344)
32,idle_bob_1.MOV,32,0,tensor(347.8987),tensor(332.5578),tensor(380.7628),tensor(303.8351),tensor(314.9532),tensor(305.2254),tensor(429.2710),tensor(331.2575),tensor(268.8815),tensor(334.9720),tensor(480.9304),tensor(526.1290),tensor(221.8510),tensor(537.4078),tensor(533.4844),tensor(777.3538),tensor(165.7194),tensor(804.7587),tensor(545.3771),tensor(988.9602),tensor(164.4380),tensor(1026.2150),tensor(456.6688),tensor(954.0766),tensor(285.2015),tensor(961.2354),tensor(485.4851),tensor(1301.9824),tensor(288.2625),tensor(1308.5637),tensor(489.5490),tensor(1572.2410),tensor(293.9990),tensor(1587.5348)
33,idle_bob_1.MOV,33,0,tensor(357.0432),tensor(335.7064),tensor(389.0376),tensor(306.7086),tensor(323.6860),tensor(309.3899),tensor(437.1777),tensor(334.7373),tensor(277.8034),tensor(341.4299),tensor(486.4994),tensor(530.1645),tensor(232.5125),tensor(540.7954),tensor(538.3242),tensor(784.4088),tensor(174.1865),tensor(804.8903),tensor(551.4706),tensor(990.5629),tensor(171.5194),tensor(1023.7357),tensor(461.3601),tensor(952.6636),tensor(290.7526),tensor(960.5767),tensor(500.4706),tensor(1294.3033),tensor(293.4229),tensor(1305.3434),tensor(516.1725),tensor(1568.9333),tensor(293.5154),tensor(1590.2216)
34,idle_bob_1.MOV,34,0,tensor(368.8593),tensor(333.8339),tensor(400.9992),tensor(304.5788),tensor(335.8680),tensor(307.5863),tensor(449.2419),tensor(333.7036),tensor(290.5308),tensor(340.9577),tensor(495.4437),tensor(531.1774),tensor(242.4967),tensor(541.0150),tensor(543.5486),tensor(789.3470),tensor(181.3702),tensor(806.3448),tensor(558.1791),tensor(996.0280),tensor(181.0921),tensor(1023.6513),tensor(466.7662),tensor(952.2821),tensor(294.8413),tensor(960.5099),tensor(513.9968),tensor(1290.0903),tensor(294.4071),tensor(1302.2618),tensor(542.0896),tensor(1568.8763),tensor(294.5063),tensor(1590.4537)
35,idle_bob_1.MOV,35,0,tensor(374.7359),tensor(338.7569),tensor(406.7745),tensor(309.4482),tensor(343.1277),tensor(312.8204),tensor(455.6004),tensor(335.7848),tensor(300.3154),tensor(343.7343),tensor(504.8242),tensor(528.0391),tensor(252.3513),tensor(541.3867),tensor(558.1407),tensor(781.1347),tensor(191.0297),tensor(803.7699),tensor(572.2142),tensor(993.4063),tensor(185.3239),tensor(1022.8656),tensor(478.9036),tensor(949.5376),tensor(305.5751),tensor(959.1149),tensor(531.9399),tensor(1285.6901),tensor(294.8494),tensor(1301.7229),tensor(569.2090),tensor(1559.2710),tensor(292.5040),tensor(1587.4285)
36,idle_bob_1.MOV,36,0,tensor(390.6396),tensor(339.4767),tensor(420.5803),tensor(308.7610),tensor(354.9593),tensor(314.0414),tensor(464.2943),tensor(335.8113),tensor(305.5351),tensor(349.5617),tensor(518.7357),tensor(531.6084),tensor(256.5557),tensor(541.9731),tensor(574.0612),tensor(791.2164),tensor(197.6454),tensor(800.5375),tensor(578.4523),tensor(996.8502),tensor(191.1637),tensor(1022.8923),tensor(491.6402),tensor(959.3842),tensor(308.1502),tensor(966.7348),tensor(550.6088),tensor(1283.4811),tensor(299.1142),tensor(1298.5774),tensor(594.4268),tensor(1565.4647),tensor(283.3435),tensor(1592.8492)
37,idle_bob_1.MOV,37,0,tensor(405.3228),tensor(338.8117),tensor(435.9184),tensor(308.6010),tensor(370.2454),tensor(312.8433),tensor(479.9683),tensor(336.1499),tensor(320.8079),tensor(347.7626),tensor(530.4879),tensor(528.3307),tensor(269.7846),tensor(537.1173),tensor(581.5866),tensor(789.9659),tensor(208.6944),tensor(799.5147),tensor(584.4037),tensor(996.3853),tensor(197.5857),tensor(1023.0376),tensor(500.2458),tensor(949.5019),tensor(315.6920),tensor(955.7073),tensor(562.9411),tensor(1281.1007),tensor(302.7629),tensor(1293.4686),tensor(609.5863),tensor(1569.6790),tensor(282.1037),tensor(1593.7628)
38,idle_bob_1.MOV,38,0,tensor(424.4813),tensor(340.1398),tensor(457.7777),tensor(310.6494),tensor(391.1833),tensor(313.8593),tensor(504.3707),tensor(344.3695),tensor(343.6245),tensor(350.4463),tensor(548.5241),tensor(535.6086),tensor(291.5202),tensor(544.5739),tensor(584.6008),tensor(790.4233),tensor(221.7145),tensor(801.2064),tensor(599.0448),tensor(1004.4868),tensor(211.9779),tensor(1024.2224),tensor(516.8600),tensor(959.5007),tensor(334.1789),tensor(968.2865),tensor(571.7725),tensor(1288.4717),tensor(297.8947),tensor(1300.5159),tensor(628.5833),tensor(1570.9021),tensor(293.4733),tensor(1588.6688)
39,idle_bob_1.MOV,39,0,tensor(462.2664),tensor(351.8565),tensor(490.8396),tensor(322.6943),tensor(429.9669),tensor(325.7661),tensor(525.5964),tensor(350.0894),tensor(374.7969),tensor(357.2390),tensor(559.1537),tensor(539.1636),tensor(310.9778),tensor(549.0310),tensor(602.5197),tensor(783.9327),tensor(229.0309),tensor(796.9697),tensor(622.8036),tensor(1000.7516),tensor(215.5942),tensor(1022.5873),tensor(522.8951),tensor(976.0309),tensor(347.0936),tensor(985.6495),tensor(588.8115),tensor(1286.4584),tensor(313.3958),tensor(1303.7965),tensor(644.6210),tensor(1572.1282),tensor(291.3467),tensor(1596.3204)
